directory,filename,format,size (MB)
F:\Backup\Datasets\Downloads\VG100\VG_100K,2342939.jpg,.jpg,0.11463069915771484
F:\Identificação Vacas\Cow Database\imagens\58,25.jpeg,.jpeg,0.46205615997314453
F:\Backup\Datasets\Downloads\VG100\VG_100K,2353340.jpg,.jpg,0.10891342163085938
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2401384.jpg,.jpg,0.1001119613647461
F:\Identificação Vacas\Cow Database\imagens\53,2219.jpeg,.jpeg,0.4830799102783203
F:\Identificação Vacas\Cow Database\imagens\51,2049.jpeg,.jpeg,0.45888805389404297
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2404312.jpg,.jpg,0.16080284118652344
F:\Backup\Datasets\Downloads\VG100\VG_100K,2359263.jpg,.jpg,0.1022176742553711
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2398170.jpg,.jpg,0.12830543518066406
F:\Backup\Datasets\Downloads\VG100\VG_100K,2370902.jpg,.jpg,0.1155252456665039
F:\Backup\Datasets\Downloads\VG100\VG_100K,2355418.jpg,.jpg,0.1553630828857422
F:\Backup\Datasets\Downloads\VG100\VG_100K,2351287.jpg,.jpg,0.1780080795288086
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2386585.jpg,.jpg,0.18281078338623047
F:\Backup\Datasets\Downloads\VG100\VG_100K,2336588.jpg,.jpg,0.15330219268798828
F:\Backup\Datasets\Downloads\VG100\VG_100K,2374802.jpg,.jpg,0.2636985778808594
F:\Backup\Datasets\Downloads\VG100\VG_100K,2369609.jpg,.jpg,0.1437997817993164
F:\Backup\Datasets\Downloads\VG100\VG_100K,2318678.jpg,.jpg,0.16692447662353516
F:\Backup\Datasets\Downloads\VG100\VG_100K,2326792.jpg,.jpg,0.17305469512939453
F:\Backup\Datasets\Downloads\VG100\VG_100K,2326437.jpg,.jpg,0.18854045867919922
F:\Backup\Datasets\Downloads\VG100\VG_100K,2334295.jpg,.jpg,0.16042804718017578
F:\Backup\Datasets\Downloads\VG100\VG_100K,2364652.jpg,.jpg,0.13045024871826172
F:\Backup\Datasets\Downloads\VG100\VG_100K,2367414.jpg,.jpg,0.16896820068359375
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2386736.jpg,.jpg,0.1524982452392578
F:\Identificação Vacas\Cow Database\imagens\03,2656.jpeg,.jpeg,0.4743795394897461
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2389490.jpg,.jpg,0.14523029327392578
F:\Iniciação Científica\Happy Cow ID\Detecção de Faces\Datasets\train-rotuladas-unsplash,face_486.jpg,.jpg,4.737125396728516
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Tensorflow\workspace\models\my_ssd_mobnet\eval,events.out.tfevents.1643510269.DESKTOP-LI5C83Q.2796.565547.v2,.v2,2.2548751831054688
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,4248.jpg,.jpg,0.11720943450927734
F:\Backup\Datasets\Cow Calf Pictures _ Download Free Images on\vacas\Vaca,photo-1611524159638-8eb03faa93d1.jpg,.jpg,1.1080951690673828
F:\Backup\Datasets\Downloads\VG100\VG_100K,2370858.jpg,.jpg,0.20496368408203125
